#                  +-----------------------------------+ 
#                  |         FIR Response              | 
#                  |        II  PFO    00  LHE         | 
#                  |     Anti-aliasing FIR div2 Gain 4 | 
#                  +-----------------------------------+ 
# 
B061F03     Stage sequence number:                 3 
B061F04     Response Name:                         FIR_div2_PFO_LHE_GAIN4__ 
B061F05     Symmetry Code:                         A 
B061F06     Response in units lookup:              COUNTS - Digital Counts 
B061F07     Response out units lookup:             COUNTS - Digital Counts 
B061F08     Number of Coefficients:                 121 
#              i   FIR Coefficient 
B061F09      0    +2.1607520e-06
B061F09      1    +9.2899600e-06
B061F09      2    +1.4531080e-05
B061F09      3    -7.7358400e-07
B061F09      4    -3.5820040e-05
B061F09      5    -3.9889480e-05
B061F09      6    +3.2055000e-05
B061F09      7    +1.0690480e-04
B061F09      8    +3.2252640e-05
B061F09      9    -1.6610520e-04
B061F09     10    -1.8400400e-04
B061F09     11    +1.4648200e-04
B061F09     12    +4.0884000e-04
B061F09     13    +4.3316400e-05
B061F09     14    -6.2059200e-04
B061F09     15    -4.7095600e-04
B061F09     16    +6.5237600e-04
B061F09     17    +1.1164080e-03
B061F09     18    -2.8910000e-04
B061F09     19    -1.8109320e-03
B061F09     20    -6.4962000e-04
B061F09     21    +2.2135600e-03
B061F09     22    +2.1882000e-03
B061F09     23    -1.8595400e-03
B061F09     24    -4.0726800e-03
B061F09     25    +2.9845560e-04
B061F09     26    +5.7038000e-03
B061F09     27    +2.6924960e-03
B061F09     28    -6.1840800e-03
B061F09     29    -6.8740400e-03
B061F09     30    +4.5158800e-03
B061F09     31    +1.1375480e-02
B061F09     32    +5.9345600e-05
B061F09     33    -1.4686000e-02
B061F09     34    -7.6471200e-03
B061F09     35    +1.4877880e-02
B061F09     36    +1.7331880e-02
B061F09     37    -1.0073920e-02
B061F09     38    -2.6996280e-02
B061F09     39    -9.0815200e-04
B061F09     40    +3.3450680e-02
B061F09     41    +1.7878040e-02
B061F09     42    -3.2924440e-02
B061F09     43    -3.8747640e-02
B061F09     44    +2.1869680e-02
B061F09     45    +5.9328800e-02
B061F09     46    +2.0827360e-03
B061F09     47    -7.3529600e-02
B061F09     48    -3.9253080e-02
B061F09     49    +7.3853200e-02
B061F09     50    +8.7385600e-02
B061F09     51    -5.1777200e-02
B061F09     52    -1.4166200e-01
B061F09     53    -3.1299600e-03
B061F09     54    +1.9533120e-01
B061F09     55    +1.0944040e-01
B061F09     56    -2.4086680e-01
B061F09     57    -3.2955840e-01
B061F09     58    +2.7140880e-01
B061F09     59    +1.2402560e+00
B061F09     60    +1.7178360e+00
B061F09     61    +1.2402560e+00
B061F09     62    +2.7140880e-01
B061F09     63    -3.2955840e-01
B061F09     64    -2.4086680e-01
B061F09     65    +1.0944040e-01
B061F09     66    +1.9533120e-01
B061F09     67    -3.1299600e-03
B061F09     68    -1.4166200e-01
B061F09     69    -5.1777200e-02
B061F09     70    +8.7385600e-02
B061F09     71    +7.3853200e-02
B061F09     72    -3.9253080e-02
B061F09     73    -7.3529600e-02
B061F09     74    +2.0827360e-03
B061F09     75    +5.9328800e-02
B061F09     76    +2.1869680e-02
B061F09     77    -3.8747640e-02
B061F09     78    -3.2924440e-02
B061F09     79    +1.7878040e-02
B061F09     80    +3.3450680e-02
B061F09     81    -9.0815200e-04
B061F09     82    -2.6996280e-02
B061F09     83    -1.0073920e-02
B061F09     84    +1.7331880e-02
B061F09     85    +1.4877880e-02
B061F09     86    -7.6471200e-03
B061F09     87    -1.4686000e-02
B061F09     88    +5.9345600e-05
B061F09     89    +1.1375480e-02
B061F09     90    +4.5158800e-03
B061F09     91    -6.8740400e-03
B061F09     92    -6.1840800e-03
B061F09     93    +2.6924960e-03
B061F09     94    +5.7038000e-03
B061F09     95    +2.9845560e-04
B061F09     96    -4.0726800e-03
B061F09     97    -1.8595400e-03
B061F09     98    +2.1882000e-03
B061F09     99    +2.2135600e-03
B061F09    100    -6.4962000e-04
B061F09    101    -1.8109320e-03
B061F09    102    -2.8910000e-04
B061F09    103    +1.1164080e-03
B061F09    104    +6.5237600e-04
B061F09    105    -4.7095600e-04
B061F09    106    -6.2059200e-04
B061F09    107    +4.3316400e-05
B061F09    108    +4.0884000e-04
B061F09    109    +1.4648200e-04
B061F09    110    -1.8400400e-04
B061F09    111    -1.6610520e-04
B061F09    112    +3.2252640e-05
B061F09    113    +1.0690480e-04
B061F09    114    +3.2055000e-05
B061F09    115    -3.9889480e-05
B061F09    116    -3.5820040e-05
B061F09    117    -7.7358400e-07
B061F09    118    +1.4531080e-05
B061F09    119    +9.2899600e-06
B061F09    120    +2.1607520e-06
# 
