#
#                  +-----------------------------------+
#                  |         FIR Response              |
#                  |        II  PFO    00  LHE         |
#                  |     Anti-aliasing FIR div5        |
#                  +-----------------------------------+
#
B061F03     Stage sequence number:                 3
B061F04     Response Name:                         FIR_div5_PFO_LHE_________
B061F05     Symmetry Code:                         A
B061F06     Response in units lookup:              COUNTS - Digital Counts
B061F07     Response out units lookup:             COUNTS - Digital Counts
B061F08     Number of Coefficients:                241
#              i   FIR Coefficient
B061F09        0   +2.42691E-08
B061F09        1   +8.21473E-08
B061F09        2   +1.82556E-07
B061F09        3   +3.10908E-07
B061F09        4   +4.15584E-07
B061F09        5   +4.01145E-07
B061F09        6   +1.38694E-07
B061F09        7   -5.00010E-07
B061F09        8   -1.58526E-06
B061F09        9   -3.06029E-06
B061F09       10   -4.68311E-06
B061F09       11   -6.00936E-06
B061F09       12   -6.44456E-06
B061F09       13   -5.37998E-06
B061F09       14   -2.40051E-06
B061F09       15   +2.48009E-06
B061F09       16   +8.63037E-06
B061F09       17   +1.47461E-05
B061F09       18   +1.90029E-05
B061F09       19   +1.94442E-05
B061F09       20   +1.45614E-05
B061F09       21   +3.93760E-06
B061F09       22   -1.12360E-05
B061F09       23   -2.79889E-05
B061F09       24   -4.19131E-05
B061F09       25   -4.80738E-05
B061F09       26   -4.23685E-05
B061F09       27   -2.30363E-05
B061F09       28   +8.12332E-06
B061F09       29   +4.52898E-05
B061F09       30   +7.92786E-05
B061F09       31   +9.94125E-05
B061F09       32   +9.63460E-05
B061F09       33   +6.52114E-05
B061F09       34   +8.19356E-06
B061F09       35   -6.44014E-05
B061F09       36   -1.35278E-04
B061F09       37   -1.83655E-04
B061F09       38   -1.90630E-04
B061F09       39   -1.45180E-04
B061F09       40   -4.91439E-05
B061F09       41   +8.05611E-05
B061F09       42   +2.13736E-04
B061F09       43   +3.13012E-04
B061F09       44   +3.43335E-04
B061F09       45   +2.82663E-04
B061F09       46   +1.30932E-04
B061F09       47   -8.57153E-05
B061F09       48   -3.17598E-04
B061F09       49   -5.01563E-04
B061F09       50   -5.76832E-04
B061F09       51   -5.03014E-04
B061F09       52   -2.75355E-04
B061F09       53   +6.77340E-05
B061F09       54   +4.48398E-04
B061F09       55   +7.65141E-04
B061F09       56   +9.18099E-04
B061F09       57   +8.37964E-04
B061F09       58   +5.10732E-04
B061F09       59   -9.56978E-06
B061F09       60   -6.05788E-04
B061F09       61   -1.12145E-03
B061F09       62   -1.39947E-03
B061F09       63   -1.32684E-03
B061F09       64   -8.73285E-04
B061F09       65   -1.11819E-04
B061F09       66   +7.87214E-04
B061F09       67   +1.59076E-03
B061F09       68   +2.06038E-03
B061F09       69   +2.01907E-03
B061F09       70   +1.40969E-03
B061F09       71   +3.27223E-04
B061F09       72   -9.87776E-04
B061F09       73   -2.19792E-03
B061F09       74   -2.95148E-03
B061F09       75   -2.97956E-03
B061F09       76   -2.18236E-03
B061F09       77   -6.78615E-04
B061F09       78   +1.20033E-03
B061F09       79   +2.97700E-03
B061F09       80   +4.14359E-03
B061F09       81   +4.30043E-03
B061F09       82   +3.28095E-03
B061F09       83   +1.22655E-03
B061F09       84   -1.41583E-03
B061F09       85   -3.98165E-03
B061F09       86   -5.74793E-03
B061F09       87   -6.12751E-03
B061F09       88   -4.84851E-03
B061F09       89   -2.06729E-03
B061F09       90   +1.62392E-03
B061F09       91   +5.30927E-03
B061F09       92   +7.96400E-03
B061F09       93   +8.72455E-03
B061F09       94   +7.14622E-03
B061F09       95   +3.37640E-03
B061F09       96   -1.81367E-03
B061F09       97   -7.16356E-03
B061F09       98   -1.12077E-02
B061F09       99   -1.26498E-02
B061F09      100   -1.07374E-02
B061F09      101   -5.53706E-03
B061F09      102   +1.97446E-03
B061F09      103   +1.00493E-02
B061F09      104   +1.65290E-02
B061F09      105   +1.93592E-02
B061F09      106   +1.71475E-02
B061F09      107   +9.62708E-03
B061F09      108   -2.09686E-03
B061F09      109   -1.56032E-02
B061F09      110   -2.75313E-02
B061F09      111   -3.42217E-02
B061F09      112   -3.24965E-02
B061F09      113   -2.04140E-02
B061F09      114   +2.17346E-03
B061F09      115   +3.33986E-02
B061F09      116   +6.95638E-02
B061F09      117   +1.05716E-01
B061F09      118   +1.36510E-01
B061F09      119   +1.57186E-01
B061F09      120   +1.64467E-01
B061F09      121   +1.57186E-01
B061F09      122   +1.36510E-01
B061F09      123   +1.05716E-01
B061F09      124   +6.95638E-02
B061F09      125   +3.33986E-02
B061F09      126   +2.17346E-03
B061F09      127   -2.04140E-02
B061F09      128   -3.24965E-02
B061F09      129   -3.42217E-02
B061F09      130   -2.75313E-02
B061F09      131   -1.56032E-02
B061F09      132   -2.09686E-03
B061F09      133   +9.62708E-03
B061F09      134   +1.71475E-02
B061F09      135   +1.93592E-02
B061F09      136   +1.65290E-02
B061F09      137   +1.00493E-02
B061F09      138   +1.97446E-03
B061F09      139   -5.53706E-03
B061F09      140   -1.07374E-02
B061F09      141   -1.26498E-02
B061F09      142   -1.12077E-02
B061F09      143   -7.16356E-03
B061F09      144   -1.81367E-03
B061F09      145   +3.37640E-03
B061F09      146   +7.14622E-03
B061F09      147   +8.72455E-03
B061F09      148   +7.96400E-03
B061F09      149   +5.30927E-03
B061F09      150   +1.62392E-03
B061F09      151   -2.06729E-03
B061F09      152   -4.84851E-03
B061F09      153   -6.12751E-03
B061F09      154   -5.74793E-03
B061F09      155   -3.98165E-03
B061F09      156   -1.41583E-03
B061F09      157   +1.22655E-03
B061F09      158   +3.28095E-03
B061F09      159   +4.30043E-03
B061F09      160   +4.14359E-03
B061F09      161   +2.97700E-03
B061F09      162   +1.20033E-03
B061F09      163   -6.78615E-04
B061F09      164   -2.18236E-03
B061F09      165   -2.97956E-03
B061F09      166   -2.95148E-03
B061F09      167   -2.19792E-03
B061F09      168   -9.87776E-04
B061F09      169   +3.27223E-04
B061F09      170   +1.40969E-03
B061F09      171   +2.01907E-03
B061F09      172   +2.06038E-03
B061F09      173   +1.59076E-03
B061F09      174   +7.87214E-04
B061F09      175   -1.11819E-04
B061F09      176   -8.73285E-04
B061F09      177   -1.32684E-03
B061F09      178   -1.39947E-03
B061F09      179   -1.12145E-03
B061F09      180   -6.05788E-04
B061F09      181   -9.56978E-06
B061F09      182   +5.10732E-04
B061F09      183   +8.37964E-04
B061F09      184   +9.18099E-04
B061F09      185   +7.65141E-04
B061F09      186   +4.48398E-04
B061F09      187   +6.77340E-05
B061F09      188   -2.75355E-04
B061F09      189   -5.03014E-04
B061F09      190   -5.76832E-04
B061F09      191   -5.01563E-04
B061F09      192   -3.17598E-04
B061F09      193   -8.57153E-05
B061F09      194   +1.30932E-04
B061F09      195   +2.82663E-04
B061F09      196   +3.43335E-04
B061F09      197   +3.13012E-04
B061F09      198   +2.13736E-04
B061F09      199   +8.05611E-05
B061F09      200   -4.91439E-05
B061F09      201   -1.45180E-04
B061F09      202   -1.90630E-04
B061F09      203   -1.83655E-04
B061F09      204   -1.35278E-04
B061F09      205   -6.44014E-05
B061F09      206   +8.19356E-06
B061F09      207   +6.52114E-05
B061F09      208   +9.63460E-05
B061F09      209   +9.94125E-05
B061F09      210   +7.92786E-05
B061F09      211   +4.52898E-05
B061F09      212   +8.12332E-06
B061F09      213   -2.30363E-05
B061F09      214   -4.23685E-05
B061F09      215   -4.80738E-05
B061F09      216   -4.19131E-05
B061F09      217   -2.79889E-05
B061F09      218   -1.12360E-05
B061F09      219   +3.93760E-06
B061F09      220   +1.45614E-05
B061F09      221   +1.94442E-05
B061F09      222   +1.90029E-05
B061F09      223   +1.47461E-05
B061F09      224   +8.63037E-06
B061F09      225   +2.48009E-06
B061F09      226   -2.40051E-06
B061F09      227   -5.37998E-06
B061F09      228   -6.44456E-06
B061F09      229   -6.00936E-06
B061F09      230   -4.68311E-06
B061F09      231   -3.06029E-06
B061F09      232   -1.58526E-06
B061F09      233   -5.00010E-07
B061F09      234   +1.38694E-07
B061F09      235   +4.01145E-07
B061F09      236   +4.15584E-07
B061F09      237   +3.10908E-07
B061F09      238   +1.82556E-07
B061F09      239   +8.21473E-08
B061F09      240   +2.42691E-08
#
