#                  +-----------------------------------+ 
#                  |         FIR Response              | 
#                  |         E-box SP pre-ESTA filter  | 
#                  |           BP F=1-8Hz FIRCLS N=99  | 
#                  +-----------------------------------+ 
# 
B061F03     Stage sequence number:                  4 
B061F04     Response Name:                          FIR_fircls_BP1-8Hz_teanby_v2 
B061F05     Symmetry Code:                         A 
B061F06     Response in units lookup:              COUNTS - Digital Counts 
B061F07     Response out units lookup:             COUNTS - Digital Counts 
B061F08     Number of Coefficients:                 99 
#              i   FIR Coefficient 
B061F09      0    -1.5653168e-05
B061F09      1    -3.2734183e-05
B061F09      2    -5.9294299e-05
B061F09      3    -9.2524399e-05
B061F09      4    -1.3215786e-04
B061F09      5    -1.8242701e-04
B061F09      6    -2.5604271e-04
B061F09      7    -3.7669095e-04
B061F09      8    -5.7778707e-04
B061F09      9    -8.9578567e-04
B061F09     10    -1.3579542e-03
B061F09     11    -1.9669133e-03
B061F09     12    -2.6867147e-03
B061F09     13    -3.4367492e-03
B061F09     14    -4.0993738e-03
B061F09     15    -4.5442446e-03
B061F09     16    -4.6672038e-03
B061F09     17    -4.4353756e-03
B061F09     18    -3.9248767e-03
B061F09     19    -3.3354724e-03
B061F09     20    -2.9693589e-03
B061F09     21    -3.1694777e-03
B061F09     22    -4.2250416e-03
B061F09     23    -6.2651436e-03
B061F09     24    -9.1712022e-03
B061F09     25    -1.2541364e-02
B061F09     26    -1.5732198e-02
B061F09     27    -1.7985114e-02
B061F09     28    -1.8620418e-02
B061F09     29    -1.7256929e-02
B061F09     30    -1.3997556e-02
B061F09     31    -9.5179644e-03
B061F09     32    -5.0103931e-03
B061F09     33    -1.9667659e-03
B061F09     34    -1.8280553e-03
B061F09     35    -5.5697403e-03
B061F09     36    -1.3323723e-02
B061F09     37    -2.4144601e-02
B061F09     38    -3.6007189e-02
B061F09     39    -4.6074565e-02
B061F09     40    -5.1211289e-02
B061F09     41    -4.8650354e-02
B061F09     42    -3.6672450e-02
B061F09     43    -1.5137178e-02
B061F09     44    +1.4274187e-02
B061F09     45    +4.8187886e-02
B061F09     46    +8.2040322e-02
B061F09     47    +1.1086793e-01
B061F09     48    +1.3022642e-01
B061F09     49    +1.3704459e-01
B061F09     50    +1.3022642e-01
B061F09     51    +1.1086793e-01
B061F09     52    +8.2040322e-02
B061F09     53    +4.8187886e-02
B061F09     54    +1.4274187e-02
B061F09     55    -1.5137178e-02
B061F09     56    -3.6672450e-02
B061F09     57    -4.8650354e-02
B061F09     58    -5.1211289e-02
B061F09     59    -4.6074565e-02
B061F09     60    -3.6007189e-02
B061F09     61    -2.4144601e-02
B061F09     62    -1.3323723e-02
B061F09     63    -5.5697403e-03
B061F09     64    -1.8280553e-03
B061F09     65    -1.9667659e-03
B061F09     66    -5.0103931e-03
B061F09     67    -9.5179644e-03
B061F09     68    -1.3997556e-02
B061F09     69    -1.7256929e-02
B061F09     70    -1.8620418e-02
B061F09     71    -1.7985114e-02
B061F09     72    -1.5732198e-02
B061F09     73    -1.2541364e-02
B061F09     74    -9.1712022e-03
B061F09     75    -6.2651436e-03
B061F09     76    -4.2250416e-03
B061F09     77    -3.1694777e-03
B061F09     78    -2.9693589e-03
B061F09     79    -3.3354724e-03
B061F09     80    -3.9248767e-03
B061F09     81    -4.4353756e-03
B061F09     82    -4.6672038e-03
B061F09     83    -4.5442446e-03
B061F09     84    -4.0993738e-03
B061F09     85    -3.4367492e-03
B061F09     86    -2.6867147e-03
B061F09     87    -1.9669133e-03
B061F09     88    -1.3579542e-03
B061F09     89    -8.9578567e-04
B061F09     90    -5.7778707e-04
B061F09     91    -3.7669095e-04
B061F09     92    -2.5604271e-04
B061F09     93    -1.8242701e-04
B061F09     94    -1.3215786e-04
B061F09     95    -9.2524399e-05
B061F09     96    -5.9294299e-05
B061F09     97    -3.2734183e-05
B061F09     98    -1.5653168e-05
# 
