#                  +-----------------------------------+ 
#                  |         FIR Response              | 
#                  |         E-box SP pre-ESTA filter  | 
#                  |          BP F=1-16Hz FIRCLS N=99  | 
#                  +-----------------------------------+ 
# 
B061F03     Stage sequence number:                  4 
B061F04     Response Name:                          FIR_fircls_BP1-16Hz_teanby_v2 
B061F05     Symmetry Code:                         A 
B061F06     Response in units lookup:              COUNTS - Digital Counts 
B061F07     Response out units lookup:             COUNTS - Digital Counts 
B061F08     Number of Coefficients:                 99 
#              i   FIR Coefficient 
B061F09      0    +3.3248164e-06
B061F09      1    +2.5377918e-05
B061F09      2    +9.0804831e-06
B061F09      3    -1.3741588e-04
B061F09      4    -5.0221137e-04
B061F09      5    -1.0373569e-03
B061F09      6    -1.5050140e-03
B061F09      7    -1.6095932e-03
B061F09      8    -1.2860559e-03
B061F09      9    -8.9486021e-04
B061F09     10    -1.0445393e-03
B061F09     11    -2.0561960e-03
B061F09     12    -3.5064623e-03
B061F09     13    -4.3922541e-03
B061F09     14    -3.9869067e-03
B061F09     15    -2.7111154e-03
B061F09     16    -2.0719618e-03
B061F09     17    -3.4136480e-03
B061F09     18    -6.4394433e-03
B061F09     19    -9.0272811e-03
B061F09     20    -8.9348044e-03
B061F09     21    -6.1277505e-03
B061F09     22    -3.4247976e-03
B061F09     23    -4.3041689e-03
B061F09     24    -9.4310055e-03
B061F09     25    -1.5240363e-02
B061F09     26    -1.6596166e-02
B061F09     27    -1.1751896e-02
B061F09     28    -4.9783489e-03
B061F09     29    -3.5525141e-03
B061F09     30    -1.0915599e-02
B061F09     31    -2.2221336e-02
B061F09     32    -2.7437166e-02
B061F09     33    -2.0508033e-02
B061F09     34    -6.5043402e-03
B061F09     35    +1.0452828e-03
B061F09     36    -7.8901489e-03
B061F09     37    -2.8708576e-02
B061F09     38    -4.3367010e-02
B061F09     39    -3.5533042e-02
B061F09     40    -7.7308840e-03
B061F09     41    +1.6135818e-02
B061F09     42    +8.9353675e-03
B061F09     43    -3.3322590e-02
B061F09     44    -7.9737930e-02
B061F09     45    -8.1457198e-02
B061F09     46    -8.4155328e-03
B061F09     47    +1.2163137e-01
B061F09     48    +2.4675355e-01
B061F09     49    +2.9833869e-01
B061F09     50    +2.4675355e-01
B061F09     51    +1.2163137e-01
B061F09     52    -8.4155328e-03
B061F09     53    -8.1457198e-02
B061F09     54    -7.9737930e-02
B061F09     55    -3.3322590e-02
B061F09     56    +8.9353675e-03
B061F09     57    +1.6135818e-02
B061F09     58    -7.7308840e-03
B061F09     59    -3.5533042e-02
B061F09     60    -4.3367010e-02
B061F09     61    -2.8708576e-02
B061F09     62    -7.8901489e-03
B061F09     63    +1.0452828e-03
B061F09     64    -6.5043402e-03
B061F09     65    -2.0508033e-02
B061F09     66    -2.7437166e-02
B061F09     67    -2.2221336e-02
B061F09     68    -1.0915599e-02
B061F09     69    -3.5525141e-03
B061F09     70    -4.9783489e-03
B061F09     71    -1.1751896e-02
B061F09     72    -1.6596166e-02
B061F09     73    -1.5240363e-02
B061F09     74    -9.4310055e-03
B061F09     75    -4.3041689e-03
B061F09     76    -3.4247976e-03
B061F09     77    -6.1277505e-03
B061F09     78    -8.9348044e-03
B061F09     79    -9.0272811e-03
B061F09     80    -6.4394433e-03
B061F09     81    -3.4136480e-03
B061F09     82    -2.0719618e-03
B061F09     83    -2.7111154e-03
B061F09     84    -3.9869067e-03
B061F09     85    -4.3922541e-03
B061F09     86    -3.5064623e-03
B061F09     87    -2.0561960e-03
B061F09     88    -1.0445393e-03
B061F09     89    -8.9486021e-04
B061F09     90    -1.2860559e-03
B061F09     91    -1.6095932e-03
B061F09     92    -1.5050140e-03
B061F09     93    -1.0373569e-03
B061F09     94    -5.0221137e-04
B061F09     95    -1.3741588e-04
B061F09     96    +9.0804831e-06
B061F09     97    +2.5377918e-05
B061F09     98    +3.3248164e-06
# 
