#                  +-----------------------------------+ 
#                  |         FIR Response              | 
#                  |         E-box SP pre-ESTA filter  | 
#                  |           BP F=1-8Hz FIRCLS N=99  | 
#                  +-----------------------------------+ 
# 
B061F03     Stage sequence number:                  4 
B061F04     Response Name:                          FIR_fircls20Hz_BP1-8Hz_teanby_v2 
B061F05     Symmetry Code:                         A 
B061F06     Response in units lookup:              COUNTS - Digital Counts 
B061F07     Response out units lookup:             COUNTS - Digital Counts 
B061F08     Number of Coefficients:                 99 
#              i   FIR Coefficient 
B061F09      0    +5.3781310e-04
B061F09      1    +5.5595052e-04
B061F09      2    -2.3802990e-04
B061F09      3    -2.6170236e-04
B061F09      4    -9.3081231e-04
B061F09      5    -4.8981390e-04
B061F09      6    -2.3411336e-04
B061F09      7    -1.7557261e-03
B061F09      8    +2.1676411e-04
B061F09      9    -4.8251839e-04
B061F09     10    -6.8898211e-04
B061F09     11    +1.8267186e-03
B061F09     12    -3.2621715e-04
B061F09     13    +2.7035435e-03
B061F09     14    +2.0114017e-03
B061F09     15    +1.2265869e-03
B061F09     16    +4.7924893e-03
B061F09     17    -6.5593761e-04
B061F09     18    +3.3812562e-03
B061F09     19    +4.2288004e-04
B061F09     20    -3.3780234e-03
B061F09     21    +1.8911601e-03
B061F09     22    -8.6560109e-03
B061F09     23    -2.2791841e-03
B061F09     24    -6.0580625e-03
B061F09     25    -1.0965871e-02
B061F09     26    +8.0892516e-04
B061F09     27    -1.2930428e-02
B061F09     28    +1.8372865e-03
B061F09     29    +2.9338951e-04
B061F09     30    -3.7120371e-03
B061F09     31    +1.8952093e-02
B061F09     32    -1.6167448e-03
B061F09     33    +2.2380632e-02
B061F09     34    +1.7469647e-02
B061F09     35    +6.1030776e-03
B061F09     36    +3.6061060e-02
B061F09     37    -7.7311585e-03
B061F09     38    +2.1855674e-02
B061F09     39    +1.0998501e-03
B061F09     40    -2.9934062e-02
B061F09     41    +1.3707740e-02
B061F09     42    -7.5488922e-02
B061F09     43    -1.9638528e-02
B061F09     44    -6.0702965e-02
B061F09     45    -1.2136662e-01
B061F09     46    +1.5343107e-02
B061F09     47    -2.4333847e-01
B061F09     48    +8.7649559e-02
B061F09     49    +7.0145467e-01
B061F09     50    +8.7649559e-02
B061F09     51    -2.4333847e-01
B061F09     52    +1.5343107e-02
B061F09     53    -1.2136662e-01
B061F09     54    -6.0702965e-02
B061F09     55    -1.9638528e-02
B061F09     56    -7.5488922e-02
B061F09     57    +1.3707740e-02
B061F09     58    -2.9934062e-02
B061F09     59    +1.0998501e-03
B061F09     60    +2.1855674e-02
B061F09     61    -7.7311585e-03
B061F09     62    +3.6061060e-02
B061F09     63    +6.1030776e-03
B061F09     64    +1.7469647e-02
B061F09     65    +2.2380632e-02
B061F09     66    -1.6167448e-03
B061F09     67    +1.8952093e-02
B061F09     68    -3.7120371e-03
B061F09     69    +2.9338951e-04
B061F09     70    +1.8372865e-03
B061F09     71    -1.2930428e-02
B061F09     72    +8.0892516e-04
B061F09     73    -1.0965871e-02
B061F09     74    -6.0580625e-03
B061F09     75    -2.2791841e-03
B061F09     76    -8.6560109e-03
B061F09     77    +1.8911601e-03
B061F09     78    -3.3780234e-03
B061F09     79    +4.2288004e-04
B061F09     80    +3.3812562e-03
B061F09     81    -6.5593761e-04
B061F09     82    +4.7924893e-03
B061F09     83    +1.2265869e-03
B061F09     84    +2.0114017e-03
B061F09     85    +2.7035435e-03
B061F09     86    -3.2621715e-04
B061F09     87    +1.8267186e-03
B061F09     88    -6.8898211e-04
B061F09     89    -4.8251839e-04
B061F09     90    +2.1676411e-04
B061F09     91    -1.7557261e-03
B061F09     92    -2.3411336e-04
B061F09     93    -4.8981390e-04
B061F09     94    -9.3081231e-04
B061F09     95    -2.6170236e-04
B061F09     96    -2.3802990e-04
B061F09     97    +5.5595052e-04
B061F09     98    +5.3781310e-04
# 
