#                  +-----------------------------------+ 
#                  |         FIR Response              | 
#                  |         VBB DTE pre-ESTA filter   | 
#                  |         BP F=0.2-2Hz FIRCLS N=99  | 
#                  +-----------------------------------+ 
# 
B061F03     Stage sequence number:                  4 
B061F04     Response Name:                          FIR_fircls_BP0.2-2Hz_RFGARCIA_v1 
B061F05     Symmetry Code:                         A 
B061F06     Response in units lookup:              COUNTS - Digital Counts 
B061F07     Response out units lookup:             COUNTS - Digital Counts 
B061F08     Number of Coefficients:                 99 
#              i   FIR Coefficient 
B061F09      0    +2.2979884e-05
B061F09      1    +7.3576129e-05
B061F09      2    +1.4751417e-04
B061F09      3    +2.2660383e-04
B061F09      4    +2.4341642e-04
B061F09      5    +1.1405338e-04
B061F09      6    -2.6437664e-04
B061F09      7    -9.5086392e-04
B061F09      8    -1.9324085e-03
B061F09      9    -3.0762197e-03
B061F09     10    -4.1494881e-03
B061F09     11    -4.8648969e-03
B061F09     12    -4.9925481e-03
B061F09     13    -4.4671917e-03
B061F09     14    -3.4768781e-03
B061F09     15    -2.4548284e-03
B061F09     16    -1.9741426e-03
B061F09     17    -2.5404142e-03
B061F09     18    -4.3644687e-03
B061F09     19    -7.1940998e-03
B061F09     20    -1.0308726e-02
B061F09     21    -1.2709236e-02
B061F09     22    -1.3478298e-02
B061F09     23    -1.2186150e-02
B061F09     24    -9.1832101e-03
B061F09     25    -5.6206637e-03
B061F09     26    -3.1352264e-03
B061F09     27    -3.2565953e-03
B061F09     28    -6.7368505e-03
B061F09     29    -1.3068720e-02
B061F09     30    -2.0438948e-02
B061F09     31    -2.6221650e-02
B061F09     32    -2.7913321e-02
B061F09     33    -2.4203547e-02
B061F09     34    -1.5765069e-02
B061F09     35    -5.3832992e-03
B061F09     36    +2.7514900e-03
B061F09     37    +4.4624782e-03
B061F09     38    -2.7162602e-03
B061F09     39    -1.8171718e-02
B061F09     40    -3.7750319e-02
B061F09     41    -5.4520054e-02
B061F09     42    -6.0663181e-02
B061F09     43    -4.9980543e-02
B061F09     44    -2.0209602e-02
B061F09     45    +2.5659550e-02
B061F09     46    +7.9611959e-02
B061F09     47    +1.3043591e-01
B061F09     48    +1.6667096e-01
B061F09     49    +1.7979703e-01
B061F09     50    +1.6667096e-01
B061F09     51    +1.3043591e-01
B061F09     52    +7.9611959e-02
B061F09     53    +2.5659550e-02
B061F09     54    -2.0209602e-02
B061F09     55    -4.9980543e-02
B061F09     56    -6.0663181e-02
B061F09     57    -5.4520054e-02
B061F09     58    -3.7750319e-02
B061F09     59    -1.8171718e-02
B061F09     60    -2.7162602e-03
B061F09     61    +4.4624782e-03
B061F09     62    +2.7514900e-03
B061F09     63    -5.3832992e-03
B061F09     64    -1.5765069e-02
B061F09     65    -2.4203547e-02
B061F09     66    -2.7913321e-02
B061F09     67    -2.6221650e-02
B061F09     68    -2.0438948e-02
B061F09     69    -1.3068720e-02
B061F09     70    -6.7368505e-03
B061F09     71    -3.2565953e-03
B061F09     72    -3.1352264e-03
B061F09     73    -5.6206637e-03
B061F09     74    -9.1832101e-03
B061F09     75    -1.2186150e-02
B061F09     76    -1.3478298e-02
B061F09     77    -1.2709236e-02
B061F09     78    -1.0308726e-02
B061F09     79    -7.1940998e-03
B061F09     80    -4.3644687e-03
B061F09     81    -2.5404142e-03
B061F09     82    -1.9741426e-03
B061F09     83    -2.4548284e-03
B061F09     84    -3.4768781e-03
B061F09     85    -4.4671917e-03
B061F09     86    -4.9925481e-03
B061F09     87    -4.8648969e-03
B061F09     88    -4.1494881e-03
B061F09     89    -3.0762197e-03
B061F09     90    -1.9324085e-03
B061F09     91    -9.5086392e-04
B061F09     92    -2.6437664e-04
B061F09     93    +1.1405338e-04
B061F09     94    +2.4341642e-04
B061F09     95    +2.2660383e-04
B061F09     96    +1.4751417e-04
B061F09     97    +7.3576129e-05
B061F09     98    +2.2979884e-05
# 
