#                  +-----------------------------------+ 
#                  |         FIR Response              | 
#                  |                                   | 
#                  |    equalisation FIR VBB VELZ V0   | 
#                  +-----------------------------------+ 
# 
B061F03     Stage sequence number:                 3 
B061F04     Response Name:                         FIR_equ_VBB_VELZ_V0____ 
B061F05     Symmetry Code:                         A 
B061F06     Response in units lookup:              COUNTS - Digital Counts 
B061F07     Response out units lookup:             COUNTS - Digital Counts 
B061F08     Number of Coefficients:                 93 
#              i   FIR Coefficient 
B061F09      0    +5.9689040e-05
B061F09      1    -3.7422800e-05
B061F09      2    -7.1983540e-05
B061F09      3    +1.0055770e-04
B061F09      4    +5.5263120e-05
B061F09      5    -1.9189630e-04
B061F09      6    +2.3926450e-05
B061F09      7    +2.9019080e-04
B061F09      8    -2.0550850e-04
B061F09      9    -3.3391450e-04
B061F09     10    +5.0718930e-04
B061F09     11    +2.1933940e-04
B061F09     12    -8.8334340e-04
B061F09     13    +1.7039460e-04
B061F09     14    +1.1917840e-03
B061F09     15    -9.0275290e-04
B061F09     16    -1.1948730e-03
B061F09     17    +1.9159440e-03
B061F09     18    +6.1532420e-04
B061F09     19    -2.9551590e-03
B061F09     20    +7.5195620e-04
B061F09     21    +3.5653210e-03
B061F09     22    -2.8971980e-03
B061F09     23    -3.1710320e-03
B061F09     24    +5.4711790e-03
B061F09     25    +1.2479560e-03
B061F09     26    -7.7371360e-03
B061F09     27    +2.4457810e-03
B061F09     28    +8.6452370e-03
B061F09     29    -7.6410950e-03
B061F09     30    -7.0415470e-03
B061F09     31    +1.3407780e-02
B061F09     32    +1.9767820e-03
B061F09     33    -1.8140280e-02
B061F09     34    +6.9633860e-03
B061F09     35    +1.9682840e-02
B061F09     36    -1.9407940e-02
B061F09     37    -1.5497120e-02
B061F09     38    +3.4122860e-02
B061F09     39    +2.5644450e-03
B061F09     40    -4.9157360e-02
B061F09     41    +2.4036760e-02
B061F09     42    +6.2201100e-02
B061F09     43    -7.9954510e-02
B061F09     44    -7.1073400e-02
B061F09     45    +3.0917090e-01
B061F09     46    +5.7421920e-01
B061F09     47    +3.0917090e-01
B061F09     48    -7.1073400e-02
B061F09     49    -7.9954510e-02
B061F09     50    +6.2201100e-02
B061F09     51    +2.4036760e-02
B061F09     52    -4.9157360e-02
B061F09     53    +2.5644450e-03
B061F09     54    +3.4122860e-02
B061F09     55    -1.5497120e-02
B061F09     56    -1.9407940e-02
B061F09     57    +1.9682840e-02
B061F09     58    +6.9633860e-03
B061F09     59    -1.8140280e-02
B061F09     60    +1.9767820e-03
B061F09     61    +1.3407780e-02
B061F09     62    -7.0415470e-03
B061F09     63    -7.6410950e-03
B061F09     64    +8.6452370e-03
B061F09     65    +2.4457810e-03
B061F09     66    -7.7371360e-03
B061F09     67    +1.2479560e-03
B061F09     68    +5.4711790e-03
B061F09     69    -3.1710320e-03
B061F09     70    -2.8971980e-03
B061F09     71    +3.5653210e-03
B061F09     72    +7.5195620e-04
B061F09     73    -2.9551590e-03
B061F09     74    +6.1532420e-04
B061F09     75    +1.9159440e-03
B061F09     76    -1.1948730e-03
B061F09     77    -9.0275290e-04
B061F09     78    +1.1917840e-03
B061F09     79    +1.7039460e-04
B061F09     80    -8.8334340e-04
B061F09     81    +2.1933940e-04
B061F09     82    +5.0718930e-04
B061F09     83    -3.3391450e-04
B061F09     84    -2.0550850e-04
B061F09     85    +2.9019080e-04
B061F09     86    +2.3926450e-05
B061F09     87    -1.9189630e-04
B061F09     88    +5.5263120e-05
B061F09     89    +1.0055770e-04
B061F09     90    -7.1983540e-05
B061F09     91    -3.7422800e-05
B061F09     92    +5.9689040e-05
# 
