#                  +-----------------------------------+ 
#                  |         FIR Response              | 
#                  |                                   | 
#                  |     equalisation FIR SP VELZ V0   | 
#                  +-----------------------------------+ 
# 
B061F03     Stage sequence number:                 3 
B061F04     Response Name:                         FIR_equ_SP_VELZ_V0_____ 
B061F05     Symmetry Code:                         A 
B061F06     Response in units lookup:              COUNTS - Digital Counts 
B061F07     Response out units lookup:             COUNTS - Digital Counts 
B061F08     Number of Coefficients:                 93 
#              i   FIR Coefficient 
B061F09      0    -4.7397560e-04
B061F09      1    +2.9716500e-04
B061F09      2    +5.7160310e-04
B061F09      3    -7.9850340e-04
B061F09      4    -4.3883050e-04
B061F09      5    +1.5238000e-03
B061F09      6    -1.8999390e-04
B061F09      7    -2.3043320e-03
B061F09      8    +1.6318910e-03
B061F09      9    +2.6515310e-03
B061F09     10    -4.0274620e-03
B061F09     11    -1.7417190e-03
B061F09     12    +7.0144070e-03
B061F09     13    -1.3530610e-03
B061F09     14    -9.4636590e-03
B061F09     15    +7.1685330e-03
B061F09     16    +9.4881860e-03
B061F09     17    -1.5214030e-02
B061F09     18    -4.8861340e-03
B061F09     19    +2.3466170e-02
B061F09     20    -5.9710940e-03
B061F09     21    -2.8311310e-02
B061F09     22    +2.3005920e-02
B061F09     23    +2.5180370e-02
B061F09     24    -4.3445250e-02
B061F09     25    -9.9097070e-03
B061F09     26    +6.1438650e-02
B061F09     27    -1.9421330e-02
B061F09     28    -6.8649640e-02
B061F09     29    +6.0676010e-02
B061F09     30    +5.5915150e-02
B061F09     31    -1.0646780e-01
B061F09     32    -1.5697130e-02
B061F09     33    +1.4404740e-01
B061F09     34    -5.5294490e-02
B061F09     35    -1.5629640e-01
B061F09     36    +1.5411350e-01
B061F09     37    +1.2305870e-01
B061F09     38    -2.7096100e-01
B061F09     39    -2.0363610e-02
B061F09     40    +3.9034620e-01
B061F09     41    -1.9086990e-01
B061F09     42    -4.9392330e-01
B061F09     43    +6.3489860e-01
B061F09     44    +5.6437590e-01
B061F09     45    -2.4550480e+00
B061F09     46    +3.3810260e+00
B061F09     47    -2.4550480e+00
B061F09     48    +5.6437590e-01
B061F09     49    +6.3489860e-01
B061F09     50    -4.9392330e-01
B061F09     51    -1.9086990e-01
B061F09     52    +3.9034620e-01
B061F09     53    -2.0363610e-02
B061F09     54    -2.7096100e-01
B061F09     55    +1.2305870e-01
B061F09     56    +1.5411350e-01
B061F09     57    -1.5629640e-01
B061F09     58    -5.5294490e-02
B061F09     59    +1.4404740e-01
B061F09     60    -1.5697130e-02
B061F09     61    -1.0646780e-01
B061F09     62    +5.5915150e-02
B061F09     63    +6.0676010e-02
B061F09     64    -6.8649640e-02
B061F09     65    -1.9421330e-02
B061F09     66    +6.1438650e-02
B061F09     67    -9.9097070e-03
B061F09     68    -4.3445250e-02
B061F09     69    +2.5180370e-02
B061F09     70    +2.3005920e-02
B061F09     71    -2.8311310e-02
B061F09     72    -5.9710940e-03
B061F09     73    +2.3466170e-02
B061F09     74    -4.8861340e-03
B061F09     75    -1.5214030e-02
B061F09     76    +9.4881860e-03
B061F09     77    +7.1685330e-03
B061F09     78    -9.4636590e-03
B061F09     79    -1.3530610e-03
B061F09     80    +7.0144070e-03
B061F09     81    -1.7417190e-03
B061F09     82    -4.0274620e-03
B061F09     83    +2.6515310e-03
B061F09     84    +1.6318910e-03
B061F09     85    -2.3043320e-03
B061F09     86    -1.8999390e-04
B061F09     87    +1.5238000e-03
B061F09     88    -4.3883050e-04
B061F09     89    -7.9850340e-04
B061F09     90    +5.7160310e-04
B061F09     91    +2.9716500e-04
B061F09     92    -4.7397560e-04
# 
