#                  +-----------------------------------+ 
#                  |         FIR Response              | 
#                  | Pressure pre-ESTA filter 2sps data| 
#                  |        HP F=0.025Hz FIR1    N=99  | 
#                  +-----------------------------------+ 
# 
B061F03     Stage sequence number:                  4 
B061F04     Response Name:                          FIR_fir1_HP0.025Hz_RFGARCIA_v1 
B061F05     Symmetry Code:                         A 
B061F06     Response in units lookup:              COUNTS - Digital Counts 
B061F07     Response out units lookup:             COUNTS - Digital Counts 
B061F08     Number of Coefficients:                 99 
#              i   FIR Coefficient 
B061F09      0    +3.3762941e-04
B061F09      1    +3.1562403e-04
B061F09      2    +2.9655953e-04
B061F09      3    +2.7806714e-04
B061F09      4    +2.5736854e-04
B061F09      5    +2.3131109e-04
B061F09      6    +1.9641154e-04
B061F09      7    +1.4890756e-04
B061F09      8    +8.4816436e-05
B061F09      9    -6.1745802e-18
B061F09     10    -1.0976505e-04
B061F09     11    -2.4871268e-04
B061F09     12    -4.2101000e-04
B061F09     13    -6.3067801e-04
B061F09     14    -8.8151186e-04
B061F09     15    -1.1770020e-03
B061F09     16    -1.5202577e-03
B061F09     17    -1.9139339e-03
B061F09     18    -2.3601635e-03
B061F09     19    -2.8604950e-03
B061F09     20    -3.4158384e-03
B061F09     21    -4.0264187e-03
B061F09     22    -4.6917391e-03
B061F09     23    -5.4105543e-03
B061F09     24    -6.1808547e-03
B061F09     25    -6.9998612e-03
B061F09     26    -7.8640328e-03
B061F09     27    -8.7690846e-03
B061F09     28    -9.7100181e-03
B061F09     29    -1.0681163e-02
B061F09     30    -1.1676229e-02
B061F09     31    -1.2688369e-02
B061F09     32    -1.3710253e-02
B061F09     33    -1.4734144e-02
B061F09     34    -1.5751992e-02
B061F09     35    -1.6755525e-02
B061F09     36    -1.7736349e-02
B061F09     37    -1.8686051e-02
B061F09     38    -1.9596303e-02
B061F09     39    -2.0458967e-02
B061F09     40    -2.1266201e-02
B061F09     41    -2.2010555e-02
B061F09     42    -2.2685075e-02
B061F09     43    -2.3283387e-02
B061F09     44    -2.3799786e-02
B061F09     45    -2.4229307e-02
B061F09     46    -2.4567796e-02
B061F09     47    -2.4811963e-02
B061F09     48    -2.4959426e-02
B061F09     49    +9.7534090e-01
B061F09     50    -2.4959426e-02
B061F09     51    -2.4811963e-02
B061F09     52    -2.4567796e-02
B061F09     53    -2.4229307e-02
B061F09     54    -2.3799786e-02
B061F09     55    -2.3283387e-02
B061F09     56    -2.2685075e-02
B061F09     57    -2.2010555e-02
B061F09     58    -2.1266201e-02
B061F09     59    -2.0458967e-02
B061F09     60    -1.9596303e-02
B061F09     61    -1.8686051e-02
B061F09     62    -1.7736349e-02
B061F09     63    -1.6755525e-02
B061F09     64    -1.5751992e-02
B061F09     65    -1.4734144e-02
B061F09     66    -1.3710253e-02
B061F09     67    -1.2688369e-02
B061F09     68    -1.1676229e-02
B061F09     69    -1.0681163e-02
B061F09     70    -9.7100181e-03
B061F09     71    -8.7690846e-03
B061F09     72    -7.8640328e-03
B061F09     73    -6.9998612e-03
B061F09     74    -6.1808547e-03
B061F09     75    -5.4105543e-03
B061F09     76    -4.6917391e-03
B061F09     77    -4.0264187e-03
B061F09     78    -3.4158384e-03
B061F09     79    -2.8604950e-03
B061F09     80    -2.3601635e-03
B061F09     81    -1.9139339e-03
B061F09     82    -1.5202577e-03
B061F09     83    -1.1770020e-03
B061F09     84    -8.8151186e-04
B061F09     85    -6.3067801e-04
B061F09     86    -4.2101000e-04
B061F09     87    -2.4871268e-04
B061F09     88    -1.0976505e-04
B061F09     89    -6.1745802e-18
B061F09     90    +8.4816436e-05
B061F09     91    +1.4890756e-04
B061F09     92    +1.9641154e-04
B061F09     93    +2.3131109e-04
B061F09     94    +2.5736854e-04
B061F09     95    +2.7806714e-04
B061F09     96    +2.9655953e-04
B061F09     97    +3.1562403e-04
B061F09     98    +3.3762941e-04
# 
