#                  +-----------------------------------+ 
#                  |         FIR Response              | 
#                  |         E-box SP pre-ESTA filter  | 
#                  |   HP F=1Hz 6db_point EQURIP N=99  | 
#                  +-----------------------------------+ 
# 
B061F03     Stage sequence number:                  4 
B061F04     Response Name:                          FIR_equrip_HP1Hz_6db_teanby_v2 
B061F05     Symmetry Code:                         A 
B061F06     Response in units lookup:              COUNTS - Digital Counts 
B061F07     Response out units lookup:             COUNTS - Digital Counts 
B061F08     Number of Coefficients:                 99 
#              i   FIR Coefficient 
B061F09      0    +1.9275835e-03
B061F09      1    -1.0467460e-03
B061F09      2    -9.6097781e-04
B061F09      3    -9.7845325e-04
B061F09      4    -1.0698291e-03
B061F09      5    -1.2168286e-03
B061F09      6    -1.4081390e-03
B061F09      7    -1.6368078e-03
B061F09      8    -1.8985891e-03
B061F09      9    -2.1908912e-03
B061F09     10    -2.5121067e-03
B061F09     11    -2.8611844e-03
B061F09     12    -3.2373553e-03
B061F09     13    -3.6399566e-03
B061F09     14    -4.0683187e-03
B061F09     15    -4.5216922e-03
B061F09     16    -4.9992011e-03
B061F09     17    -5.4998139e-03
B061F09     18    -6.0223258e-03
B061F09     19    -6.5653490e-03
B061F09     20    -7.1273091e-03
B061F09     21    -7.7064456e-03
B061F09     22    -8.3008164e-03
B061F09     23    -8.9083045e-03
B061F09     24    -9.5266276e-03
B061F09     25    -1.0153350e-02
B061F09     26    -1.0785896e-02
B061F09     27    -1.1421566e-02
B061F09     28    -1.2057550e-02
B061F09     29    -1.2690953e-02
B061F09     30    -1.3318807e-02
B061F09     31    -1.3938095e-02
B061F09     32    -1.4545775e-02
B061F09     33    -1.5138796e-02
B061F09     34    -1.5714126e-02
B061F09     35    -1.6268773e-02
B061F09     36    -1.6799805e-02
B061F09     37    -1.7304378e-02
B061F09     38    -1.7779753e-02
B061F09     39    -1.8223322e-02
B061F09     40    -1.8632624e-02
B061F09     41    -1.9005370e-02
B061F09     42    -1.9339457e-02
B061F09     43    -1.9632987e-02
B061F09     44    -1.9884282e-02
B061F09     45    -2.0091899e-02
B061F09     46    -2.0254640e-02
B061F09     47    -2.0371564e-02
B061F09     48    -2.0441991e-02
B061F09     49    +9.7953449e-01
B061F09     50    -2.0441991e-02
B061F09     51    -2.0371564e-02
B061F09     52    -2.0254640e-02
B061F09     53    -2.0091899e-02
B061F09     54    -1.9884282e-02
B061F09     55    -1.9632987e-02
B061F09     56    -1.9339457e-02
B061F09     57    -1.9005370e-02
B061F09     58    -1.8632624e-02
B061F09     59    -1.8223322e-02
B061F09     60    -1.7779753e-02
B061F09     61    -1.7304378e-02
B061F09     62    -1.6799805e-02
B061F09     63    -1.6268773e-02
B061F09     64    -1.5714126e-02
B061F09     65    -1.5138796e-02
B061F09     66    -1.4545775e-02
B061F09     67    -1.3938095e-02
B061F09     68    -1.3318807e-02
B061F09     69    -1.2690953e-02
B061F09     70    -1.2057550e-02
B061F09     71    -1.1421566e-02
B061F09     72    -1.0785896e-02
B061F09     73    -1.0153350e-02
B061F09     74    -9.5266276e-03
B061F09     75    -8.9083045e-03
B061F09     76    -8.3008164e-03
B061F09     77    -7.7064456e-03
B061F09     78    -7.1273091e-03
B061F09     79    -6.5653490e-03
B061F09     80    -6.0223258e-03
B061F09     81    -5.4998139e-03
B061F09     82    -4.9992011e-03
B061F09     83    -4.5216922e-03
B061F09     84    -4.0683187e-03
B061F09     85    -3.6399566e-03
B061F09     86    -3.2373553e-03
B061F09     87    -2.8611844e-03
B061F09     88    -2.5121067e-03
B061F09     89    -2.1908912e-03
B061F09     90    -1.8985891e-03
B061F09     91    -1.6368078e-03
B061F09     92    -1.4081390e-03
B061F09     93    -1.2168286e-03
B061F09     94    -1.0698291e-03
B061F09     95    -9.7845325e-04
B061F09     96    -9.6097781e-04
B061F09     97    -1.0467460e-03
B061F09     98    +1.9275835e-03
# 
