#                  +-----------------------------------+ 
#                  |         FIR Response              | 
#                  |         E-box SP pre-ESTA filter  | 
#                  |   HP F=1Hz 6db_point EQURIP N=99  | 
#                  +-----------------------------------+ 
# 
B061F03     Stage sequence number:                  4 
B061F04     Response Name:                          FIR_equrip20Hz_HP1Hz_6db_teanby_v2 
B061F05     Symmetry Code:                         A 
B061F06     Response in units lookup:              COUNTS - Digital Counts 
B061F07     Response out units lookup:             COUNTS - Digital Counts 
B061F08     Number of Coefficients:                 99 
#              i   FIR Coefficient 
B061F09      0    +2.2733593e-03
B061F09      1    -4.6398438e-04
B061F09      2    -5.7431072e-04
B061F09      3    -7.4124611e-04
B061F09      4    -9.1782151e-04
B061F09      5    -1.0525809e-03
B061F09      6    -1.0953299e-03
B061F09      7    -1.0038751e-03
B061F09      8    -7.5092115e-04
B061F09      9    -3.3014604e-04
B061F09     10    +2.3955272e-04
B061F09     11    +9.1253973e-04
B061F09     12    +1.6183021e-03
B061F09     13    +2.2669692e-03
B061F09     14    +2.7583187e-03
B061F09     15    +2.9936035e-03
B061F09     16    +2.8890702e-03
B061F09     17    +2.3896651e-03
B061F09     18    +1.4811957e-03
B061F09     19    +1.9918199e-04
B061F09     20    -1.3671833e-03
B061F09     21    -3.0771415e-03
B061F09     22    -4.7471272e-03
B061F09     23    -6.1660293e-03
B061F09     24    -7.1160165e-03
B061F09     25    -7.3972209e-03
B061F09     26    -6.8539361e-03
B061F09     27    -5.3995513e-03
B061F09     28    -3.0372903e-03
B061F09     29    +1.2600732e-04
B061F09     30    +3.8753385e-03
B061F09     31    +7.8937013e-03
B061F09     32    +1.1779438e-02
B061F09     33    +1.5074072e-02
B061F09     34    +1.7298785e-02
B061F09     35    +1.7996638e-02
B061F09     36    +1.6776834e-02
B061F09     37    +1.3356829e-02
B061F09     38    +7.5980414e-03
B061F09     39    -4.6868943e-04
B061F09     40    -1.0631012e-02
B061F09     41    -2.2498245e-02
B061F09     42    -3.5520388e-02
B061F09     43    -4.9021991e-02
B061F09     44    -6.2248435e-02
B061F09     45    -7.4420933e-02
B061F09     46    -8.4795586e-02
B061F09     47    -9.2721327e-02
B061F09     48    -9.7691597e-02
B061F09     49    +9.0061495e-01
B061F09     50    -9.7691597e-02
B061F09     51    -9.2721327e-02
B061F09     52    -8.4795586e-02
B061F09     53    -7.4420933e-02
B061F09     54    -6.2248435e-02
B061F09     55    -4.9021991e-02
B061F09     56    -3.5520388e-02
B061F09     57    -2.2498245e-02
B061F09     58    -1.0631012e-02
B061F09     59    -4.6868943e-04
B061F09     60    +7.5980414e-03
B061F09     61    +1.3356829e-02
B061F09     62    +1.6776834e-02
B061F09     63    +1.7996638e-02
B061F09     64    +1.7298785e-02
B061F09     65    +1.5074072e-02
B061F09     66    +1.1779438e-02
B061F09     67    +7.8937013e-03
B061F09     68    +3.8753385e-03
B061F09     69    +1.2600732e-04
B061F09     70    -3.0372903e-03
B061F09     71    -5.3995513e-03
B061F09     72    -6.8539361e-03
B061F09     73    -7.3972209e-03
B061F09     74    -7.1160165e-03
B061F09     75    -6.1660293e-03
B061F09     76    -4.7471272e-03
B061F09     77    -3.0771415e-03
B061F09     78    -1.3671833e-03
B061F09     79    +1.9918199e-04
B061F09     80    +1.4811957e-03
B061F09     81    +2.3896651e-03
B061F09     82    +2.8890702e-03
B061F09     83    +2.9936035e-03
B061F09     84    +2.7583187e-03
B061F09     85    +2.2669692e-03
B061F09     86    +1.6183021e-03
B061F09     87    +9.1253973e-04
B061F09     88    +2.3955272e-04
B061F09     89    -3.3014604e-04
B061F09     90    -7.5092115e-04
B061F09     91    -1.0038751e-03
B061F09     92    -1.0953299e-03
B061F09     93    -1.0525809e-03
B061F09     94    -9.1782151e-04
B061F09     95    -7.4124611e-04
B061F09     96    -5.7431072e-04
B061F09     97    -4.6398438e-04
B061F09     98    +2.2733593e-03
# 
