#                  +-----------------------------------+ 
#                  |         FIR Response              | 
#                  | Pressure pre-ESTA filt  20sps data| 
#                  |            HP F=1Hz FIR1    N=99  | 
#                  +-----------------------------------+ 
# 
B061F03     Stage sequence number:                  4 
B061F04     Response Name:                          FIR_fir1_HP1Hz_RFGARCIA_v1 
B061F05     Symmetry Code:                         A 
B061F06     Response in units lookup:              COUNTS - Digital Counts 
B061F07     Response out units lookup:             COUNTS - Digital Counts 
B061F08     Number of Coefficients:                 99 
#              i   FIR Coefficient 
B061F09      0    -1.6057989e-04
B061F09      1    -3.1548812e-04
B061F09      2    -4.5898382e-04
B061F09      3    -5.8226701e-04
B061F09      4    -6.7224680e-04
B061F09      5    -7.1159577e-04
B061F09      6    -6.8038125e-04
B061F09      7    -5.5926282e-04
B061F09      8    -3.3391200e-04
B061F09      9    -5.4192481e-18
B061F09     10    +4.3213166e-04
B061F09     11    +9.3410804e-04
B061F09     12    +1.4584037e-03
B061F09     13    +1.9401915e-03
B061F09     14    +2.3025096e-03
B061F09     15    +2.4646185e-03
B061F09     16    +2.3528958e-03
B061F09     17    +1.9131097e-03
B061F09     18    +1.1225171e-03
B061F09     19    -4.5073145e-17
B061F09     20    -1.3875451e-03
B061F09     21    -2.9241047e-03
B061F09     22    -4.4497812e-03
B061F09     23    -5.7727155e-03
B061F09     24    -6.6872280e-03
B061F09     25    -6.9968470e-03
B061F09     26    -6.5401000e-03
B061F09     27    -5.2163409e-03
B061F09     28    -3.0085429e-03
B061F09     29    -2.3535035e-17
B061F09     30    +3.6177518e-03
B061F09     31    +7.5477502e-03
B061F09     32    +1.1402092e-02
B061F09     33    +1.4727799e-02
B061F09     34    +1.7042492e-02
B061F09     35    +1.7877074e-02
B061F09     36    +1.6821667e-02
B061F09     37    +1.3570365e-02
B061F09     38    +7.9601993e-03
B061F09     39    -3.8959663e-17
B061F09     40    -1.0114416e-02
B061F09     41    -2.2001077e-02
B061F09     42    -3.5109586e-02
B061F09     43    -4.8754945e-02
B061F09     44    -6.2165056e-02
B061F09     45    -7.4538028e-02
B061F09     46    -8.5104307e-02
B061F09     47    -9.3188071e-02
B061F09     48    -9.8262227e-02
B061F09     49    +8.9992699e-01
B061F09     50    -9.8262227e-02
B061F09     51    -9.3188071e-02
B061F09     52    -8.5104307e-02
B061F09     53    -7.4538028e-02
B061F09     54    -6.2165056e-02
B061F09     55    -4.8754945e-02
B061F09     56    -3.5109586e-02
B061F09     57    -2.2001077e-02
B061F09     58    -1.0114416e-02
B061F09     59    -3.8959663e-17
B061F09     60    +7.9601993e-03
B061F09     61    +1.3570365e-02
B061F09     62    +1.6821667e-02
B061F09     63    +1.7877074e-02
B061F09     64    +1.7042492e-02
B061F09     65    +1.4727799e-02
B061F09     66    +1.1402092e-02
B061F09     67    +7.5477502e-03
B061F09     68    +3.6177518e-03
B061F09     69    -2.3535035e-17
B061F09     70    -3.0085429e-03
B061F09     71    -5.2163409e-03
B061F09     72    -6.5401000e-03
B061F09     73    -6.9968470e-03
B061F09     74    -6.6872280e-03
B061F09     75    -5.7727155e-03
B061F09     76    -4.4497812e-03
B061F09     77    -2.9241047e-03
B061F09     78    -1.3875451e-03
B061F09     79    -4.5073145e-17
B061F09     80    +1.1225171e-03
B061F09     81    +1.9131097e-03
B061F09     82    +2.3528958e-03
B061F09     83    +2.4646185e-03
B061F09     84    +2.3025096e-03
B061F09     85    +1.9401915e-03
B061F09     86    +1.4584037e-03
B061F09     87    +9.3410804e-04
B061F09     88    +4.3213166e-04
B061F09     89    -5.4192481e-18
B061F09     90    -3.3391200e-04
B061F09     91    -5.5926282e-04
B061F09     92    -6.8038125e-04
B061F09     93    -7.1159577e-04
B061F09     94    -6.7224680e-04
B061F09     95    -5.8226701e-04
B061F09     96    -4.5898382e-04
B061F09     97    -3.1548812e-04
B061F09     98    -1.6057989e-04
# 
