#                  +-----------------------------------+ 
#                  |         FIR Response              | 
#                  |  MAG pre-ESTA filt  20sps data    | 
#                  |          HP F=0.1Hz FIR1    N=99  | 
#                  +-----------------------------------+ 
# 
B061F03     Stage sequence number:                  4 
B061F04     Response Name:                          FIR_fir1_HP0.1Hz_RFGARCIA_v1 
B061F05     Symmetry Code:                         A 
B061F06     Response in units lookup:              COUNTS - Digital Counts 
B061F07     Response out units lookup:             COUNTS - Digital Counts 
B061F08     Number of Coefficients:                 99 
#              i   FIR Coefficient 
B061F09      0    -1.0437117e-03
B061F09      1    -1.0764469e-03
B061F09      2    -1.1349955e-03
B061F09      3    -1.2205733e-03
B061F09      4    -1.3342426e-03
B061F09      5    -1.4769019e-03
B061F09      6    -1.6492769e-03
B061F09      7    -1.8519118e-03
B061F09      8    -2.0851623e-03
B061F09      9    -2.3491899e-03
B061F09     10    -2.6439573e-03
B061F09     11    -2.9692250e-03
B061F09     12    -3.3245495e-03
B061F09     13    -3.7092830e-03
B061F09     14    -4.1225739e-03
B061F09     15    -4.5633693e-03
B061F09     16    -5.0304191e-03
B061F09     17    -5.5222805e-03
B061F09     18    -6.0373249e-03
B061F09     19    -6.5737457e-03
B061F09     20    -7.1295672e-03
B061F09     21    -7.7026553e-03
B061F09     22    -8.2907288e-03
B061F09     23    -8.8913720e-03
B061F09     24    -9.5020487e-03
B061F09     25    -1.0120116e-02
B061F09     26    -1.0742842e-02
B061F09     27    -1.1367417e-02
B061F09     28    -1.1990977e-02
B061F09     29    -1.2610616e-02
B061F09     30    -1.3223404e-02
B061F09     31    -1.3826408e-02
B061F09     32    -1.4416709e-02
B061F09     33    -1.4991417e-02
B061F09     34    -1.5547694e-02
B061F09     35    -1.6082767e-02
B061F09     36    -1.6593950e-02
B061F09     37    -1.7078658e-02
B061F09     38    -1.7534424e-02
B061F09     39    -1.7958917e-02
B061F09     40    -1.8349951e-02
B061F09     41    -1.8705508e-02
B061F09     42    -1.9023742e-02
B061F09     43    -1.9302997e-02
B061F09     44    -1.9541815e-02
B061F09     45    -1.9738945e-02
B061F09     46    -1.9893354e-02
B061F09     47    -2.0004230e-02
B061F09     48    -2.0070990e-02
B061F09     49    +9.7990672e-01
B061F09     50    -2.0070990e-02
B061F09     51    -2.0004230e-02
B061F09     52    -1.9893354e-02
B061F09     53    -1.9738945e-02
B061F09     54    -1.9541815e-02
B061F09     55    -1.9302997e-02
B061F09     56    -1.9023742e-02
B061F09     57    -1.8705508e-02
B061F09     58    -1.8349951e-02
B061F09     59    -1.7958917e-02
B061F09     60    -1.7534424e-02
B061F09     61    -1.7078658e-02
B061F09     62    -1.6593950e-02
B061F09     63    -1.6082767e-02
B061F09     64    -1.5547694e-02
B061F09     65    -1.4991417e-02
B061F09     66    -1.4416709e-02
B061F09     67    -1.3826408e-02
B061F09     68    -1.3223404e-02
B061F09     69    -1.2610616e-02
B061F09     70    -1.1990977e-02
B061F09     71    -1.1367417e-02
B061F09     72    -1.0742842e-02
B061F09     73    -1.0120116e-02
B061F09     74    -9.5020487e-03
B061F09     75    -8.8913720e-03
B061F09     76    -8.2907288e-03
B061F09     77    -7.7026553e-03
B061F09     78    -7.1295672e-03
B061F09     79    -6.5737457e-03
B061F09     80    -6.0373249e-03
B061F09     81    -5.5222805e-03
B061F09     82    -5.0304191e-03
B061F09     83    -4.5633693e-03
B061F09     84    -4.1225739e-03
B061F09     85    -3.7092830e-03
B061F09     86    -3.3245495e-03
B061F09     87    -2.9692250e-03
B061F09     88    -2.6439573e-03
B061F09     89    -2.3491899e-03
B061F09     90    -2.0851623e-03
B061F09     91    -1.8519118e-03
B061F09     92    -1.6492769e-03
B061F09     93    -1.4769019e-03
B061F09     94    -1.3342426e-03
B061F09     95    -1.2205733e-03
B061F09     96    -1.1349955e-03
B061F09     97    -1.0764469e-03
B061F09     98    -1.0437117e-03
# 
