Network;Station;locid;locid_int;chan;locidchan;longname;sensor;sps;orientation;type;longnamesps;Units;detector;mode;output;gaintype
XB;ELYSE;00;0;HHU;00_HHU;VBB_1_Vel_HG_Sci;VBBVel;100;U;Transmitted_raw_data;VBB_1_Vel_HG_Sci_100;Counts;VBB;Sci;Vel;HG
XB;ELYSE;00;0;BHU;00_BHU;VBB_1_Vel_HG_Sci;VBBVel;50;U;Transmitted_raw_data;VBB_1_Vel_HG_Sci_50;Counts;VBB;Sci;Vel;HG
XB;ELYSE;01;1;BHU;01_BHU;VBB_1_Vel_HG_Sci;VBBVel;25;U;Transmitted_raw_data;VBB_1_Vel_HG_Sci_25;Counts;VBB;Sci;Vel;HG
XB;ELYSE;02;2;BHU;02_BHU;VBB_1_Vel_HG_Sci;VBBVel;20;U;Transmitted_raw_data;VBB_1_Vel_HG_Sci_20;Counts;VBB;Sci;Vel;HG
XB;ELYSE;03;3;BHU;03_BHU;VBB_1_Vel_HG_Sci;VBBVel;10;U;Transmitted_raw_data;VBB_1_Vel_HG_Sci_10;Counts;VBB;Sci;Vel;HG
XB;ELYSE;00;0;MHU;00_MHU;VBB_1_Vel_HG_Sci;VBBVel;5;U;Transmitted_raw_data;VBB_1_Vel_HG_Sci_5;Counts;VBB;Sci;Vel;HG
XB;ELYSE;01;1;MHU;01_MHU;VBB_1_Vel_HG_Sci;VBBVel;4;U;Transmitted_raw_data;VBB_1_Vel_HG_Sci_4;Counts;VBB;Sci;Vel;HG
XB;ELYSE;02;2;MHU;02_MHU;VBB_1_Vel_HG_Sci;VBBVel;2;U;Transmitted_raw_data;VBB_1_Vel_HG_Sci_2;Counts;VBB;Sci;Vel;HG
XB;ELYSE;00;0;LHU;00_LHU;VBB_1_Vel_HG_Sci;VBBVel;1;U;Transmitted_raw_data;VBB_1_Vel_HG_Sci_1;Counts;VBB;Sci;Vel;HG
XB;ELYSE;05;5;HLU;05_HLU;VBB_1_Vel_LG_Sci;VBBVel;100;U;Transmitted_raw_data;VBB_1_Vel_LG_Sci_100;Counts;VBB;Sci;Vel;LG
XB;ELYSE;05;5;BLU;05_BLU;VBB_1_Vel_LG_Sci;VBBVel;50;U;Transmitted_raw_data;VBB_1_Vel_LG_Sci_50;Counts;VBB;Sci;Vel;LG
XB;ELYSE;06;6;BLU;06_BLU;VBB_1_Vel_LG_Sci;VBBVel;25;U;Transmitted_raw_data;VBB_1_Vel_LG_Sci_25;Counts;VBB;Sci;Vel;LG
XB;ELYSE;07;7;BLU;07_BLU;VBB_1_Vel_LG_Sci;VBBVel;20;U;Transmitted_raw_data;VBB_1_Vel_LG_Sci_20;Counts;VBB;Sci;Vel;LG
XB;ELYSE;08;8;BLU;08_BLU;VBB_1_Vel_LG_Sci;VBBVel;10;U;Transmitted_raw_data;VBB_1_Vel_LG_Sci_10;Counts;VBB;Sci;Vel;LG
XB;ELYSE;05;5;MLU;05_MLU;VBB_1_Vel_LG_Sci;VBBVel;5;U;Transmitted_raw_data;VBB_1_Vel_LG_Sci_5;Counts;VBB;Sci;Vel;LG
